customer_id,current_income,emi_amount,credit_limit,credit_utilization,income_drop_pct,balance_drop_pct,emi_to_income_ratio,failed_autodebit,discretionary_spend_drop,default_next_30_days,income_stability_index,liquidity_strength_index,debt_pressure_index,behavioral_shift_index,financial_stress_score
1,35397.871068459404,5860,153694,0.7164994150019197,0.6713697319528396,0.8022590718974012,0.09793061597068126,1.0,0.9869504068664198,1,0.6713697319528396,0.8022590718974012,0.6048100103242003,0.9869504068664198,0.7505682715145362
2,52341.88618506922,5189,179981,0.756447819168335,0.8568818307259083,0.9500691337176354,0.04687878673954051,1.0,0.8777305009861284,1,0.8568818307259083,0.9500691337176354,0.6011088686359586,0.8777305009861284,0.8204051500033968
3,95103.31652324925,16653,290181,0.11068656830587409,0.27267368599129915,0.6553317644359197,0.10527791463263536,0.0,0.005079350302905289,0,0.27267368599129915,0.6553317644359197,0.07198816097950315,0.005079350302905289,0.26464795721182655
4,24295.845092617557,26847,243664,0.7098351204048381,0.7023662784107626,0.6457816263337094,0.8201259398784424,1.0,0.9245164967961204,1,0.7023662784107626,0.6457816263337094,0.8433203534277602,0.9245164967961204,0.7678886778228203
5,111259.38588897906,28769,148806,0.465353124124157,0.36143589791327624,0.3934324568766799,0.16944564019940694,0.0,0.2934168220224297,0,0.36143589791327624,0.3934324568766799,0.21159958810785465,0.2934168220224297,0.3183721450246025
6,95858.05490500086,14789,230152,0.7515401043362044,0.7449966437108,0.6895929847821498,0.08926965868745135,0.5,0.661606043032576,1,0.7449966437108,0.6895929847821498,0.4469365876745519,0.661606043032576,0.6399525948339305
7,86349.07626251718,22879,118840,0.9248466300228455,0.7221521402090407,0.908073725846156,0.17435284850409455,0.5,0.6210760662455026,1,0.7221521402090407,0.908073725846156,0.5330664928423133,0.6210760662455026,0.7011459099839301
8,54215.22064969729,7327,156308,0.7840051671486494,0.6641103082446502,0.5409473070395825,0.07456091444440796,0.5,0.6045284452869885,1,0.6641103082446502,0.5409473070395825,0.4528553605310191,0.6045284452869885,0.5685894484234432
9,40874.26801859505,25445,241785,0.9831236251327002,0.6612212365615718,0.6545085278514204,0.44922194507657465,1.0,0.9493418730349592,1,0.6612212365615718,0.6545085278514204,0.810781856736425,0.9493418730349592,0.7545573417224247
10,63725.32818090702,29829,229426,0.8673287131406364,0.7621405094715821,0.7243431179358837,0.330504554046115,1.0,0.6965607527814748,1,0.7621405094715821,0.7243431179358837,0.7326110890622505,0.6965607527814748,0.7321928551473031
